Grade,Subject,Chapter,Topic_title,Topic_description,Topic_objective,Topic_teacher_name,Topic_url_demo,Video_title,Video_local,Video_wistia,Quiz_title,Quiz_starsrequired,Quiz_questions,Quiz_description,Quiz_subtitle,Quiz_estimatedMaxTime
Segundo Semestre,Matematicas,Numeros 6,Números naturales,Mat,Aprender,Marcos Gonzalez,Sin demo,Números naturales,http://video_platform.mx/videos/chalkboard.mp4,sin video,Matemáticas ,0,"[{
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número negativo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de resta""
      ],
    ""res"": 0
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números racionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [0, 1, 4]
  },
  {
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número positivo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de suma""
      ],
    ""res"": 1
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números irracionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [2, 3]
  }]",Examen Fake,Números naturales,30
Segundo Semestre,Matematicas,Numeros 6,Números racionales,Mat,Aprender,Marcos Gonzalez,Sin demo,Números racionales,http://video_platform.mx/videos/chalkboard.mp4,sin video,Matemáticas ,2,"[{
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número negativo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de resta""
      ],
    ""res"": 0
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números racionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [0, 1, 4]
  },
  {
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número positivo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de suma""
      ],
    ""res"": 1
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números irracionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [2, 3]
  }]",Examen Fake,Números racionales,30
Segundo Semestre,Matematicas,Numeros 7,Números imaginarios ,Mat,Aprender,Marcos Gonzalez,Sin demo,Números imaginarios ,http://video_platform.mx/videos/chalkboard.mp4,sin video,Matemáticas ,0,"[{
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número negativo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de resta""
      ],
    ""res"": 0
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números racionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [0, 1, 4]
  },
  {
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número positivo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de suma""
      ],
    ""res"": 1
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números irracionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [2, 3]
  }]",Examen Fake,Números imaginarios ,30
Segundo Semestre,Matematicas,Numeros 7,Teorema de Cauchy,Mat,Aprender,Marcos Gonzalez,Sin demo,Teorema de Cauchy,http://video_platform.mx/videos/chalkboard.mp4,sin video,Matemáticas ,8,"[{
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número negativo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de resta""
      ],
    ""res"": 0
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números racionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [0, 1, 4]
  },
  {
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número positivo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de suma""
      ],
    ""res"": 1
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números irracionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [2, 3]
  }]",Examen Fake,Teorema de Cauchy,30
Tercer Semestre,Matematicas,Numeros 9,Numeros 1.9,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.98.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Matemáticas ,0,"[{
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número negativo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de resta""
      ],
    ""res"": 0
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números racionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [0, 1, 4]
  },
  {
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número positivo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de suma""
      ],
    ""res"": 1
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números irracionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [2, 3]
  }]",Examen Fake,Números Reales,30
Tercer Semestre,Matematicas,Numeros 9,Numeros 1.9,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.98.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Matemáticas ,2,"[{
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número negativo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de resta""
      ],
    ""res"": 0
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números racionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [0, 1, 4]
  },
  {
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número positivo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de suma""
      ],
    ""res"": 1
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números irracionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [2, 3]
  }]",Examen Fake,Números Reales,30
Tercer Semestre,Matematicas,Numeros 10,Numeros 1.10,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.109.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Matemáticas ,0,"[{
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número negativo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de resta""
      ],
    ""res"": 0
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números racionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [0, 1, 4]
  },
  {
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número positivo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de suma""
      ],
    ""res"": 1
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números irracionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [2, 3]
  }]",Examen Fake,Números Reales,30
Tercer Semestre,Matematicas,Numeros 10,Numeros 1.10,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.109.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Matemáticas ,8,"[{
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número negativo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de resta""
      ],
    ""res"": 0
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números racionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [0, 1, 4]
  },
  {
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número positivo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de suma""
      ],
    ""res"": 1
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números irracionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [2, 3]
  }]",Examen Fake,Números Reales,30
Cuarto Semestre,Matematicas,Numeros 13,Numeros 1.13,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.1312.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Matemáticas ,0,"[{
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número negativo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de resta""
      ],
    ""res"": 0
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números racionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [0, 1, 4]
  },
  {
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número positivo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de suma""
      ],
    ""res"": 1
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números irracionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [2, 3]
  }]",Examen Fake,Números Reales,30
Cuarto Semestre,Matematicas,Numeros 13,Numeros 1.13,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.1312.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Matemáticas ,2,"[{
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número negativo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de resta""
      ],
    ""res"": 0
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números racionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [0, 1, 4]
  },
  {
    ""type"": ""radio"",
    ""question"": ""¿Qué es un número positivo?"",
    ""userAnswer"": null,
    ""opc"": [
      ""Un número menor que cero"",
      ""Un número mayor que cero"",
      ""Un número igual que cero"",
      ""Una expresión que contenga el símbolo de suma""
      ],
    ""res"": 1
  },
  {
    ""type"": ""checkbox"",
    ""question"": ""Seleccione todos aquellos que son números irracionales"",
    ""userAnswer"": [],
    ""opc"": [
      ""5.453"",
      ""3/4"",
      ""π"",
      ""+√2"",
      ""+√4""
      ],
    ""res"": [2, 3]
  }]",Examen Fake,Números Reales,30
